tile_no,color,name,probi,expected_income,expected_return,rank
0,,Go,0.031101556,,,
1,brown,Mediterranean Avenue,0.02148037,0.04296074,0.000716012,22
2,,Community chest,0.018955601,,,
3,brown,Baltic Avenue,0.021805648,0.087222593,0.00145371,19
4,,Income tax,0.023445885,,,
5,,Reading Railroad,0.029863356,,,
6,cyan,Oriental Avenue,0.022785302,0.136711814,0.001367118,21
7,,Chance,0.008732507,,,
8,cyan,Vermont Avenue,0.023390788,0.140344728,0.001403447,20
9,cyan,Connecticut Avenue,0.023223525,0.185788201,0.001548235,18
10,,Jail,0.058886696,,,
11,pink,St. Charles Place,0.027267009,0.272670095,0.001947644,15
12,,Electric Company,0.026217056,,,
13,pink,States Avenue,0.023842275,0.238422746,0.00170302,17
14,pink,Virginia Avenue,0.024700033,0.296400391,0.001852502,16
15,,Pennsylvania Railroad,0.029241255,,,
16,orange,St. James Place,0.027874109,0.39023752,0.002167986,14
17,,Community chest,0.025852202,,,
18,orange,Tennessee Avenue,0.029287827,0.410029578,0.002277942,8
19,orange,New York Avenue,0.030812134,0.49299414,0.002464971,3
20,,Free parking,0.02882826,,,
21,red,Kentucky Avenue,0.028367711,0.510618807,0.002320995,5
22,,Chance,0.010494505,,,
23,red,Indiana Avenue,0.027411853,0.493413361,0.002242788,10
24,red,Illinois Avenue,0.03191513,0.638302606,0.002659594,2
25,,B. & O. Railroad,0.030687484,,,
26,yellow,Atlantic Avenue,0.027106996,0.596353905,0.002293669,6
27,yellow,Ventnor Avenue,0.02682791,0.590214019,0.002270054,9
28,,Water works,0.028135673,,,
29,yellow,Marvin Gardens,0.02592679,0.622242951,0.002222296,11
30,,Go to jail,0,,,
31,green,Pacific Avenue,0.026865342,0.698498885,0.00232833,4
32,green,North Carolina Avenue,0.026334364,0.684693464,0.002282312,7
33,,Community chest,0.023758112,,,
34,green,Pennsylvania Avenue,0.02509362,0.702621349,0.002195692,13
35,,Short line,0.024443968,,,
36,,Chance,0.008707751,,,
37,blue,Park Place,0.021997433,0.769910154,0.002199743,12
38,,Luxury tax,0.021900868,,,
39,blue,Boardwalk,0.026431094,1.321554678,0.003303887,1
